id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,url_tiket,akesibilitas,fasilitas,type,akses,dataran,weather,jeniswisata,jumlahrating,anak,lansia,descitinerary,isnight
1,Candi Borobudur,-7.607086854,110.2036226,50000,50000,Candi yang pernah masuk sebagai salah satu dari Tujuh Keajaiban Dunia ini dihiasi oleh banyak relief di dinding candi. Relief yang ada di Candi Borobudur mencapai 2.672 dan panjangnya bisa mencapai 6 kilometer,https://fatek.umsu.ac.id/wp-content/uploads/2023/06/Candi-Borobudur-Makna-Yang-Terkandung-di-Dalamnya.jpg,https://fatek.umsu.ac.id/wp-content/uploads/2023/06/Candi-Borobudur-Makna-Yang-Terkandung-di-Dalamnya.jpg,https://akcdn.detik.net.id/visual/2020/11/30/kpc-pen_169.jpeg?w=650,https://goo.gl/maps/z6yxeLnucA2xHAY97,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah",Senin-Minggu 06.30-16.30,4.7,Wisata Budaya & Edukasi,https://www.traveloka.com/id-id/activities/indonesia/product/candi-borobudur-tickets-2001162996890?funnel_source=googlettd&funnel_id=googlettd,"ramah difabel, lansia, dan anak-anak",toilet,outdoor,mudah,rendah,{current_weather},candi,81922,yes,yes,Menjelajahi keindahan dan keunikan Candi Borobudur,no
2,Candi Prambanan,-7.751834561,110.4915318,50000,50000,"Candi Prambanan adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.",https://blog.tiket.com/wp-content/uploads/2021/01/Candi-Prambanan-3.jpg,https://www.yogyes.com/id/yogyakarta-tourism-object/candi/prambanan/1.jpg,https://www.wsrentaljogja.com/wp-content/uploads/2016/08/feedjogja.jpg,https://goo.gl/maps/XGe9tt6GEH3F9t9V6,"Jl. Raya Solo - Yogyakarta No.16, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Senin-Minggu 06.30-17.00,4.7,Wisata Budaya & Edukasi,https://www.traveloka.com/id-id/activities/indonesia/product/tiket-candi-prambanan-2001162996889?funnel_source=googlettd&funnel_id=googlettd,"ramah difabel, lansia, dan anak-anak",toilet,outdoor,mudah,rendah,{current_weather},candi,71751,yes,yes,Menjelajahi keindahan dan keunikan Candi Prambanan,no
3,Tebing Breksi,-7.781476547,110.5045757,10000,10000,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. tempat ini merupakan perbukitan batuan breksi. dari atas tebing wisatawan dapat melihat keseluruhan kota jogja, bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing, serpeti pesawat yang lepas landas, kendaraan yang hilidr mudik.",https://asset.kompas.com/crops/j9iyPtdVQ0ldfmyNOVhsX6Z7HMo=/0x0:1037x691/750x500/data/photo/2021/09/29/6154025ebec57.jpg,https://www.masterplandesa.com/wp-content/uploads/2022/08/tebing-breksi.jpg,https://garasijogja.com/wp-content/uploads/2016/11/shary_makeup.jpg,https://goo.gl/maps/9JV5qjPPnjydvVDH6,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Senin-Minggu 06.00-21.00,4.5,Wisata Alam,,ramah anak-anak,,outdoor,mudah,tinggi,{current_weather},pegunungan,51431,yes,no,Menikmati pemandangan dari Tebing Breksi,yes
4,Gembira Loka Zoo,-7.8062344,110.3967977,60000,75000,"Gambira Loka adalah kebun binatang yang berada di Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orangutan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi yang mengguncang kota Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",https://lh5.googleusercontent.com/p/AF1QipN_ZDFzdRK5l9xD37AQueOgiz9qRX06n_IA7IVA=w408-h272-k-no,https://joss.co.id/data/uploads/2018/11/gembira-loka-zoo-jogja.jpg,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/10/gl7.jpg,https://goo.gl/maps/qdXHygHVZwBr7Xo56,"Jl. Kebun Raya No.2, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",Senin-Minggu 08.00-16.00,4.5,Wisata Buatan,https://gembiralokazoo.com/,"ramah difabel, lansia, dan anak-anak",toilet,indoor,mudah,rendah,{current_weather},rekreasi,36337,yes,yes,Melihat flora dan fauna nusantara di Gembiraloka,no
5,Keraton Yogyakarta,-7.8052845,110.3642031,8000,8000,"Kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",https://lh5.googleusercontent.com/p/AF1QipND8D1rsAt3wWXg0iSWkYjHUTSBmddSHKHBVEfP=w408-h544-k-no,https://asset.kompas.com/crops/8tJj4g1QDacH56GRrhPpQajWyYU=/0x0:1000x667/750x500/data/photo/2020/01/13/5e1c561b497dd.jpg,https://www.superlive.id/storage/superadventure/2021/01/11/b5707100ae88.png,https://goo.gl/maps/ZggVvD4h6yCNUTE77,"Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta","Senin, Rabu (tutup). Kamis-Minggu 08.30-14.30 ",4.6,Wisata Budaya & Edukasi,,"ramah difabel, lansia, dan anak-anak",,indoor,mudah,rendah,{current_weather},budaya&sejarah,30091,yes,yes,Mempelajari budaya dan sejarah di Keraton,no
6,Taman Sari,-7.809833449,110.3595117,5000,5000,"Taman Sari Yogyakarta, merupakan salah satu bangunan milik kesultanan Yogyakarta yang difungsikan sebagai destinasi wisata. Namun selain sebagai destinasi wisata, taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja. Dengan bentuk bangunan arsitektur ala Portugis-Jawa, bangunan di taman ini menjadi daya tarik utama. Meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan, namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini.",https://lh5.googleusercontent.com/p/AF1QipP7k7EEfySZKxyYXlu-44NLNJaxfXZbb2BxkX0n=w408-h544-k-no,https://jbbudaya.jogjabelajar.org/file/artikel/a12d040cf2cf9509c7e0548df657dd78.jpg,"https://i2.wp.com/travelspromo.com/wp-content/uploads/2019/03/sumur-gemuling-taman-sari-yogyakarta-tamansari_yogyakarta-e1552641749826.jpg?resize=780,470",https://goo.gl/maps/5xtLDShvobUbo7MC7,"Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",Senin-Minggu 09.00-15.00,4.6,Wisata Budaya & Edukasi,,ramah anak-anak,,outdoor,mudah,rendah,{current_weather},budaya&sejarah,27899,yes,yes,Mengunjungi situs bersejarah Taman Sari,no
7,Hutan Pinus Mangunan Dlingo,-7.9267837,110.4319967,3000,3000,"hutan pinus mangunan yang ada di Jogja bisa menjadi destinasi hutan yang tepat. Disana banyak terdapat pepohonan yang tinggi menjulang, yang dikenal dengan nama Pinus Merkusi. Nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini, sebab kesejukan dan keindahan pemandangannya benar-benar mempesona mata.",https://lh5.googleusercontent.com/p/AF1QipN2q0IzvQVlmClUGY8qNrGXwoTlhnlGimMEGPjo=w426-h240-k-no,https://media-cdn.tripadvisor.com/media/photo-s/26/d3/92/b9/hutan-pinus-mangunan.jpg,https://o-cdf.sirclocdn.com/unsafe/o-cdn-cas.sirclocdn.com/parenting/images/hutan-pinus-mangunan-dlingo.width-800.format-webp.webp,https://goo.gl/maps/PKbGuHiQmfo1RoPL8,"Jl raya Jl. Hutan Pinus Nganjir, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Senin-Minggu 06.00-18.00,4.6,Wisata Alam,,,,outdoor,mudah,tinggi,{current_weather},pegunungan,18271,yes,yes,Menikmati pemandangan alam di Hutan Pinus,no
8,Jogja Bay,-7.7478461,110.4188754,90000,100000,"Jogja Bay Waterpark (JBW) salah satu waterpark terbesar di asia tenggara yang berlokasi di kota wisata terbesar kedua di Indonesia yaitu Yogyakarta. Dan belakangan ini sudah menjadi salah satu tujuan destinasi wisata di Yogyakarta. Waterpark yang saat ini merupakan atraksi wahana air terbesar, terlengkap berstandar internasional dan memiliki karakter Bajak Laut – dengan bangga menyampaikan sesuai TripAdvisor Internasional telah merilis tahun 2019 “Jogja Bay Waterpark di Yogyakarta sebagai Waterpark Terbaik ke 3 di Asia”. Jogjabay telah tersertifikasi CHSE (Clean, Health, Safety, & Enviroment) dengan score 100% dari Kemenparekraf RI dan Sucofindo.",https://lh5.googleusercontent.com/p/AF1QipN21S4bj0bmtXAdwp4ShcKEUH-JQq9SSRuzxBUD=w408-h271-k-no,"https://dbijapkm3o6fj.cloudfront.net/resources/12424,1004,1,6,4,0,600,450/-4601-/20170223213659/jogja-bay-waterpark.jpeg",https://cdn2.tstatic.net/tribunjogjawiki/foto/bank/images/pintu-masuk-jogja-bay-waterpark.jpg,https://goo.gl/maps/jRbJXoVgwSjbCR5Z9,"7C29+8PJ, Jl. Utara, Jenengan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Senin-Minggu 09.00-15.00,4.4,Wisata Buatan,https://www.waterboomjogja.com/,ramah anak-anak,"toilet, mushola",outdoor,mudah,rendah,{current_weather},rekreasi,16877,yes,no,Bermain wahana kolam renang di Jogja Bay,no
9,The World Landmarks - Merapi Park Yogyakarta,-7.6209046,110.4216275,15000,15000,"Merapi Park merupakan tempat wisata yang dihadirkan sebagai tempat rekreasi keluarga. taman bermain dengan taman taman yang tertata rapi dan terkesan sejuk, sangat pas anda habiskan bersma sang buah hati atau kekasih tersayang. taman bunga dan bangku panjang paduan yang sempurna untuk sekedar bercengkrama lepas tanpa terganggu bisingnya lalu lalang kendaraan. tentu saja karena merapi park jogja ini terletak di bawah kaki gunung merapi kaliurang yang sepi dan sejuk. panorama kaki gunung inilah akan membuat hasil jepretan foto Anda menjadi lebih berwarna, cantik dan menarik.",https://lh5.googleusercontent.com/p/AF1QipNIbzBzRI7b6jq4sqZJxY3F1KuQzMDnMHAGk3z-=w408-h306-k-no,https://visitingjogja.jogjaprov.go.id/en/wp-content/uploads/2019/03/815.jpg,https://www.wsrentaljogja.com/wp-content/uploads/2017/08/landmark3@dodiefdi.jpg,https://goo.gl/maps/iRytb6nYBHNUZDXPA,"Jl. Kaliurang No.KM. 22.5, Banteng, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Senin-Minggu 09.00-17.00,4.2,Wisata Buatan,https://www.merapipark.com/attractions-1,"ramah difabel, lansia, dan anak-anak","taman bermain, meja piknik,toilet",outdoor,mudah,tinggi,{current_weather},rekreasi,16201,yes,yes,Menikmati keindahan alam dan wisata buatan di Merapi Park,no
10,The Lost World Castle,-7.6041648,110.4510042,30000,30000,"Di dalam The Lost World Casle, pengunjung disuguhkan potret gagahnya Gunung Merapi. Selain itu, di dalam objek wisata ini terdapat berbagai latar untuk mengambil foto yang menarik, di antaranya taman koboi, awan putih, sepeda motor terbang, sayap bidadari, dan lain-lain. Selain itu, ada juga latar foto trik tiga-dimensi berupa air terjun, permadani terbang, dan beberapa bunga sakura tiruan yang turut menghidupkan suasana.",https://lh5.googleusercontent.com/p/AF1QipPBMetHattr4wDs5Nw5GT7IXxdV-8VnUIHHBxz2=w408-h305-k-no,https://cdn2.tstatic.net/travel/foto/bank/images/pemandangan-alam-dari-the-lost-world-castle-jogja.jpg,https://www.genjosholiday.com/wp-content/uploads/zz.gif,https://goo.gl/maps/mUWL6oYZfXvPP5Bb6,"Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",Senin-Minggu 07.00-18.00,4.3,Wisata Buatan,https://visitingjogja.jogjaprov.go.id/en/17269/discovering-the-splendid-castle-of-the-lost-world-castle/,ramah anak-anak,,outdoor,mudah,tinggi,{current_weather},rekreasi,16110,yes,yes,Mengunjungi tempat wisata unik di The Lost World Castle,no
